Time,Clothing,Footwear,Chemist
1995-05,138.2,24.6,85.4
1995-06,119.6,20.6,89.9
1995-07,121.1,20.2,84.1
1995-08,111.0,16.6,91.1
1995-09,109.4,17.7,87.7
1995-10,113.2,19.7,87.0
1995-11,121.1,21.1,89.8
1995-12,159.7,27.1,111.1
1996-01,109.7,21.2,89.5
1996-02,102.5,17.8,86.0
1996-03,121.0,20.5,84.5
1996-04,124.6,22.1,83.8
1996-05,137.4,21.8,86.8
1996-06,114.3,19.3,76.0
1996-07,114.7,19.5,80.5
1996-08,105.3,15.0,90.1
1996-09,104.3,16.1,89.4
1996-10,114.0,18.8,91.4
1996-11,111.6,17.9,94.9
1996-12,154.2,23.9,115.0
1997-01,106.2,21.2,95.6
1997-02,91.4,16.8,86.5
1997-03,114.2,17.8,86.4
1997-04,133.7,21.9,92.8
1997-05,131.4,21.4,100.0
1997-06,114.9,18.3,94.6
1997-07,116.6,18.4,97.6
1997-08,99.6,16.8,101.4
1997-09,101.4,15.3,99.5
1997-10,115.3,19.6,104.7
1997-11,118.4,18.6,100.7
1997-12,161.1,24.8,122.9
1998-01,107.3,20.2,100.9
1998-02,91.1,16.7,94.3
1998-03,116.0,18.2,93.7
1998-04,126.1,20.6,94.7
1998-05,128.4,20.2,94.7
1998-06,115.4,16.8,91.8
1998-07,120.5,18.9,95.3
1998-08,103.2,16.6,95.5
1998-09,104.6,16.0,94.2
1998-10,113.6,20.1,94.3
1998-11,119.5,19.4,91.8
1998-12,157.0,24.8,114.5
1999-01,109.1,21.1,92.3
1999-02,97.4,17.1,87.2
1999-03,120.1,16.8,95.4
1999-04,133.3,21.7,91.9
1999-05,129.7,19.2,91.7
1999-06,119.9,17.4,94.7
1999-07,125.0,17.6,95.5
1999-08,114.7,15.8,95.2
1999-09,122.0,17.5,98.7
1999-10,123.4,18.6,98.5
1999-11,126.8,17.7,101.2
1999-12,175.3,24.4,130.2
2000-01,119.5,19.7,93.8
2000-02,111.6,16.5,92.2
2000-03,131.7,19.5,95.9
2000-04,140.4,21.1,89.0
2000-05,135.6,20.2,95.3
2000-06,128.6,18.0,97.7
2000-07,129.3,18.4,97.1
2000-08,123.4,15.9,99.7
2000-09,131.9,16.6,98.7
2000-10,131.3,18.9,97.3
